n = 10 - 390
k = 15


10;15;1214,37997215484;4;00:00:00;00:00:00.0156250;00:00:00;
20;15;1242,85145850694;5;00:00:00;00:00:00;00:00:00;
30;15;1147,32580133653;3;00:00:00;00:00:00;00:00:00;
40;15;1082,43213105332;4;00:00:00;00:00:00;00:00:00;
50;15;1079,38746979306;4;00:00:00;00:00:00;00:00:00.0156250;
60;15;1049,54548001071;5;00:00:00;00:00:00.0156250;00:00:00;
70;15;1072,2196045778;4;00:00:00;00:00:00.0156250;00:00:00.0156250;
80;15;1089,79544388215;4;00:00:00;00:00:00.0468750;00:00:00.0156250;
90;15;1048,38317524542;4;00:00:00;00:00:00.0937500;00:00:00;
100;15;1063,01242717821;4;00:00:00;00:00:00.1093750;00:00:00.0156250;
110;15;1045,94240148811;5;00:00:00;00:00:00.2187500;00:00:00.0312500;
120;15;1082,10427458761;5;00:00:00;00:00:00.2656250;00:00:00.0156250;
130;15;1069,08570356402;5;00:00:00;00:00:00.3437500;00:00:00.0312500;
140;15;1048,2666936337;6;00:00:00;00:00:00.7812500;00:00:00.0781250;
150;15;1046,28627202087;5;00:00:00;00:00:00.5468750;00:00:00.0625000;
160;15;1063,41607054519;6;00:00:00;00:00:01.0781250;00:00:00.0781250;
170;15;1063,62288407259;8;00:00:00;00:00:01.1875000;00:00:00.1093750;
180;15;1058,92191991545;6;00:00:00;00:00:01.6718750;00:00:00.1406250;
190;15;1061,23607907273;5;00:00:00;00:00:02.5625000;00:00:00.1875000;
200;15;1052,36547225579;6;00:00:00;00:00:03.2500000;00:00:00.2187500;
210;15;1066,15141790003;7;00:00:00;00:00:04.2500000;00:00:00.2968750;
220;15;1046,94094828358;8;00:00:00;00:00:06.4687500;00:00:00.3593750;
230;15;1025,6926648885;7;00:00:00;00:00:07.5781250;00:00:00.4062500;
240;15;1042,47383062762;6;00:00:00;00:00:11.0625000;00:00:00.5156250;
250;15;1039,84978298838;8;00:00:00;00:00:15.0781250;00:00:00.6093750;
260;15;1029,32169568735;8;00:00:00;00:00:16.8593750;00:00:00.7031250;
270;15;1047,1075085859;6;00:00:00;00:00:19.3281250;00:00:00.8125000;
280;15;1045,87650652043;7;00:00:00;00:00:25.0312500;00:00:01.1875000;
290;15;1043,31329277734;8;00:00:00;00:00:25.7812500;00:00:01.0625000;
300;15;1033,53169913681;9;00:00:00;00:00:35.9843750;00:00:01.0781250;
310;15;1047,07810331436;7;00:00:00;00:00:46.4843750;00:00:01.5781250;
320;15;1050,65593767567;8;00:00:00;00:00:50.4843750;00:00:01.7500000;
330;15;1046,96912750664;8;00:00:00;00:00:57.5312500;00:00:02.1562500;
340;15;1036,75513919498;9;00:00:00;00:01:16.0468750;00:00:01.8593750;
350;15;1046,28509198727;9;00:00:00;00:01:14.9843750;00:00:02.2656250;
360;15;1039,92456157636;8;00:00:00;00:01:26.1250000;00:00:02.5937500;
370;15;1047,12454583062;10;00:00:00;00:01:33.3437500;00:00:02.7343750;
380;15;1051,35653501613;10;00:00:00;00:01:44.5781250;00:00:02.8281250;
390;15;1046,3849364598;10;00:00:00;00:02:06.6093750;00:00:03.2968750;
