10;30;1059,37540101427;3;0;0,015625;0,015625;
20;30;1020,32161812418;3;0;0;0;
30;30;1015,92198684139;3;0;0;0;
40;30;1014,42302962288;3;0;0;0,015625;
50;30;1003,94913088591;3;0;0;0,015625;
60;30;1027,67306921454;3;0;0,015625;0;
70;30;999,25879767837;3;0;0,03125;0,015625;
80;30;1009,74993456086;3;0;0,046875;0;
90;30;995,829933696669;4;0;0,0625;0;
100;30;997,589352925106;4;0;0,09375;0;
110;30;999,396073846569;4;0;0,125;0,015625;
120;30;997,674536871455;5;0;0,171875;0,015625;
130;30;995,725433043546;4;0;0,296875;0,03125;
140;30;999,256859051068;4;0;0,421875;0,078125;
150;30;994,888822132635;5;0;0,84375;0,09375;
160;30;996,092754210475;5;0;1,484375;0,171875;
170;30;1003,22138210387;4;0;1,875;0,203125;
180;30;993,556409993682;5;0;4,734375;0,28125;
190;30;993,992143087728;4;0;5,46875;0,359375;
200;30;994,66647719102;4;0;5,734375;0,359375;
210;30;995,490710580358;5;0;11,40625;0,5;
220;30;995,356052476691;5;0;11,640625;0,546875;
230;30;994,681966121255;5;0;16,703125;0,609375;
240;30;993,794387266874;5;0;25,796875;0,96875;
250;30;1002,47989109476;6;0;24,46875;0,9375;
260;30;1001,57115004583;6;0;31,015625;1,09375;
270;30;998,854426382625;6;0;37,78125;1,078125;
280;30;995,68490975789;6;0;50,015625;1,625;
290;30;996,956672048002;6;0;50,78125;1,703125;
300;30;1005,58008147296;5;0;61,265625;1,75;
310;30;1002,00048491959;6;0;76,46875;1,953125;
320;30;999,198505444485;7;0;103,15625;3,15625;
330;30;996,000867639414;6;0;152,09375;2,4375;
340;30;993,246147999984;5;0;144,78125;2,828125;
350;30;992,050810448176;7;0;108,390625;2,828125;
